id,name,cost
1,Buick,17275
2,Audi,6415
3,Ford,9379
4,Geo,30860
5,Hummer,66834
6,Mazda,38573
7,Ford,63890
8,Volvo,27082
9,Mercedes-Benz,63108
10,Toyota,35352
11,Pontiac,94721
12,Acura,12394
13,Mazda,68949
14,Ford,68069
15,Ford,48469
16,Chevrolet,68841
17,Jeep,79188
18,Jeep,25237
19,Plymouth,91940
20,Mitsubishi,6834
21,Kia,86336
22,Buick,14179
23,Mitsubishi,13982
24,Cadillac,88539
25,Mitsubishi,95377
26,Lexus,60135
27,Mazda,46609
28,Jaguar,52065
29,GMC,68324
30,Volkswagen,94091
31,Suzuki,53582
32,Pontiac,77305
33,Toyota,75218
34,Chevrolet,10294
35,Lamborghini,78926
36,Ford,44821
37,Chrysler,30060
38,Volvo,66291
39,Ford,22992
40,Ford,30450
41,Dodge,88312
42,Toyota,48751
43,Dodge,26568
44,Pontiac,50625
45,Buick,15000
46,Lexus,75956
47,Lincoln,92127
48,Volvo,60070
49,Suzuki,59518
50,Chevrolet,54514
51,Toyota,16262
52,BMW,66156
53,Toyota,37994
54,Pontiac,19245
55,Scion,11592
56,GMC,8126
57,Volvo,10542
58,Dodge,17344
59,Chevrolet,22139
60,Mazda,16170
61,Suzuki,88960
62,Lexus,69592
63,Porsche,81074
64,Mercury,11818
65,Ford,58242
66,Lamborghini,99919
67,Honda,41905
68,Mitsubishi,15953
69,Dodge,25672
70,Renault,86553
71,Chrysler,15563
72,Cadillac,26171
73,Oldsmobile,57497
74,Buick,88530
75,Eagle,65338
76,Mitsubishi,15784
77,Chevrolet,33951
78,Audi,99555
79,Lexus,54199
80,Chevrolet,83896
81,Kia,21412
82,Saturn,66455
83,Saturn,92993
84,Ford,85249
85,Isuzu,27218
86,Jaguar,59482
87,Honda,37458
88,GMC,6095
89,Audi,42365
90,Chevrolet,38458
91,Acura,76098
92,Maserati,48559
93,Ford,67484
94,Mazda,91109
95,Ford,57270
96,Volkswagen,68946
97,Mitsubishi,69042
98,Pontiac,7412
99,Ford,72108
100,Ford,23363
